model,test_accuracy,test_precision,test_recall,test_f1,cv_score
gradient_boosting,0.5287356321839081,0.5290333804565052,0.5287356321839081,0.5284116963329307,0.5152688065189308
xgboost,0.5103448275862069,0.5105024630541872,0.5103448275862069,0.5102050658700905,0.5221802643346914
random_forest,0.5057471264367817,0.5056156132460086,0.5057471264367817,0.5054648172129842,0.5020239159958926
